normalized_word,frequency,earliest_grade
तर्क,49.0,2.0
उमा,49.0,9.0
आकर,49.0,1.0
तभी,49.0,1.0
याँ,49.0,1.0
जोर,49.0,3.0
दादी,49.0,1.0
मॉरिशस,49.0,6.0
महत्व,49.0,1.0
कल,49.0,1.0
शैली,49.0,3.0
बातों,49.0,1.0
मगर,49.0,2.0
जाएँगे,48.0,3.0
रस,48.0,2.0
पृथ्वी,48.0,1.0
आधारित,48.0,1.0
पात्र,48.0,1.0
अंश,48.0,1.0
समस्या,48.0,1.0
बने,48.0,1.0
दिनों,48.0,1.0
रोटी,48.0,1.0
प्रभाव,48.0,1.0
सुख,48.0,3.0
सामाजिक,48.0,1.0
सारी,48.0,1.0
शाम,48.0,1.0
चिड़िया,47.0,1.0
चिह्न,47.0,1.0
लय,47.0,1.0
बैठ,47.0,1.0
घास,47.0,2.0
खोजबीन,47.0,3.0
अभिनय,47.0,1.0
समझने,47.0,1.0
अधिगम,47.0,1.0
गाने,47.0,1.0
जिसे,47.0,1.0
तट,47.0,2.0
तीनों,46.0,1.0
अंग,46.0,1.0
पुनः,46.0,1.0
मूल,46.0,1.0
सामग्री,46.0,1.0
प्रस्तुति,46.0,1.0
खा,46.0,1.0
नाव,46.0,3.0
पूर्ण,46.0,2.0
तत्पर,46.0,3.0
परंपरा,46.0,1.0
कठिन,46.0,3.0
सुधा,46.0,4.0
बल्कि,46.0,1.0
देवदत्त,46.0,5.0
पक्ष,46.0,1.0
डाल,46.0,1.0
भरा,46.0,1.0
घटना,46.0,1.0
विशेषता,46.0,3.0
लिखे,45.0,2.0
हिरण्यक,45.0,8.0
प्यार,45.0,1.0
रचनाओं,45.0,1.0
सहित,45.0,1.0
स्वप्न,45.0,6.0
सकें,45.0,1.0
अभिव्यक्ति,45.0,1.0
बता,45.0,1.0
कथन,45.0,3.0
ज़रा,45.0,2.0
इसं,45.0,7.0
सबके,45.0,1.0
धनुष,44.0,1.0
हरी,44.0,1.0
पड़े,44.0,1.0
सुना,44.0,1.0
बीमार,44.0,3.0
जुड़ी,44.0,1.0
बोलने,44.0,2.0
मंदिर,44.0,3.0
निम्न,44.0,1.0
समास,44.0,9.0
गिर,44.0,2.0
दरवाजे,44.0,1.0
अक्षर,44.0,1.0
एल,44.0,2.0
भूल,44.0,1.0
मदन,44.0,4.0
नीति,44.0,1.0
व्यवहार,44.0,1.0
जानें,43.0,1.0
भाइयों,43.0,7.0
तुम्हारे,43.0,2.0
गुण,43.0,1.0
माला,43.0,1.0
इधर,43.0,2.0
कृष्ण,43.0,3.0
रहना,43.0,3.0
लोककथा,43.0,2.0
छोड़,43.0,2.0
सहपाठियों,43.0,1.0
अध,43.0,1.0
लिखी,43.0,2.0
साल,43.0,1.0
प्रभाग,43.0,1.0
निशा,43.0,1.0
चुने,43.0,5.0
